References,Qty,Description,Manufacturer,MPN,Manufacturer,MPN,Digikey,Mouser,RS,Newark,Farnell
"C1,",1,4u7 Capacitor_SMD:C_1206_3216Metric,,CL31A475KPHNNNE,Samsung,CL31A475KPHNNNE,1276-1809-6-ND,,,,
"C4, C6,",2,10n Capacitor_SMD:C_0805_2012Metric,,CL21B103KBANNNC,Samsung,CL21B103KBANNNC,1276-1015-1-ND,,7666089,,3013470
"C7, C2, C13, C14, C9, C10, C11, C12, C25, C17, C19, C21, C23, C18, C20, C22, C24, C33, C38, C34, C39, C35, C41, C40,",24,Unpolarized capacitor,,CL21B104KBCNNNC,Samsung,CL21B104KBCNNNC,1276-1003-6-ND,,7666177,,3010150
"C16, C15,",2,Unpolarized capacitor,,CL21B334KOCNNNC,Samsung,CL21B334KOCNNNC,1276-1797-6-ND,,,,
"C27,",1,Unpolarized capacitor,,C0805C105K8RAC7800,KEMET,C0805C105K8RACTU,399-1172-1-ND,80C0805C105K8R,8029857,,2409048
"C29, C26, C28,",3,Unpolarized capacitor,,CL21A106KOQNNNE,Samsung,CL21A106KOQNNNE,1276-1096-6-ND,,,,3013453
"C30, C32, C5,",3,Unpolarized capacitor,,CL10A225KP8NNNC,Samsung,CL10A225KP8NNNC,1276-1085-6-ND,,7664730,,3010066
"C31, C36, C51,",3,Unpolarized capacitor,,CL10A475KQ8NNNC,Samsung,CL10A475KQ8NNNC,1276-1045-6-ND,,7664705,,3013399
"C37, C66, C65,",3,Unpolarized capacitor,,VJ0603Y102KXACW1BC,Vishay,VJ0603Y102KXACW1BC,720-1529-6-ND,77VJ0603Y102KXACBC,,,2407336
"C46, C3, C8,",3,Unpolarized capacitor,,CL10A105KA8NNNC,Samsung,CL10A105KA8NNNC,1276-1102-1-ND,,7664838,,3013382
"C54, C55, C42, C43, C44, C45,",6,Unpolarized capacitor,,CL10A106MQ8NNNC,Samsung,CL10A106MQ8NNNC,1276-1119-1-ND,,7664718,,3010063
"C60, C61,",2,Unpolarized capacitor,,,,,,,,,
"C62,",1,Unpolarized capacitor,,12101U371KAT2A,AVX,12101U371KAT2A,478-12101U371KAT2ATR-ND,58112101U371KAT2A,,,
"C64, C63,",2,Unpolarized capacitor,,0603B471K500CT,Walsin Technologies,0603B471K500CT,1292-1438-6-ND,7910603B471K500CT,1763076,,2496859
"C69, C70, C67, C68,",4,Unpolarized capacitor,,C0603C271J5GACTU,KEMET,C0603C271J5GACTU,399-1067-1-ND,80C0603C271J5G,147207,,1414629
